Code,Name,Status,PSABDescription,ParentCategoryName,ParentCategoryDescription,ChartType,FundType,ParentFundCode,ParentType,IsGrant,GrantName,SummaryLine,IsBudgetable,ActualsPostable,IsReimbursable,RequiresApprovals,SupportsAssessedValuations,RevObjectCurrYear,RevObjectPriorYear,RequiresProjectNumber,UsesDependentCharterXfer,PEDZeroOut,NotInUse
24153,English Language Acquisition,Active,,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.,Uniform FY27,Flowthrough,24000,No,Yes,24153 English Language Acquisition,Yes,Yes,Yes,Yes,Yes,No,1111,,No,Yes,Yes,No
24154,Teacher/Principal Training & Recruiting,Active,,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.,Uniform FY27,Flowthrough,24000,No,Yes,24154 Title II - Teacher/Principal Training & Recruiting,Yes,Yes,Yes,Yes,Yes,No,1111,,No,Yes,Yes,No
24155,Indian Ed - Title VII,Active,,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.,Uniform FY27,Flowthrough,24000,No,Yes,????,Yes,Yes,Yes,Yes,Yes,No,,,No,Yes,Yes,No
24156,Even Start Family Literacy,Historical,,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.,Uniform FY27,Flowthrough,24000,No,Yes,????,Yes,Yes,Yes,Yes,Yes,No,,,No,Yes,Yes,Yes
24157,Title IV-A Safe & Drug Free Schools & Community,Active,,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.,Uniform FY27,Flowthrough,24000,No,Yes,????,Yes,Yes,Yes,Yes,Yes,No,,,No,Yes,Yes,No
24158,Community Services Grants,Historical,,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.,Uniform FY27,Flowthrough,24000,No,Yes,????,Yes,Yes,Yes,Yes,Yes,No,,,No,Yes,Yes,Yes
24159,21st Century Community Living Centers,Historical,,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.,Uniform FY27,Flowthrough,24000,No,Yes,????,Yes,Yes,Yes,Yes,Yes,No,,,No,Yes,Yes,Yes
24160,Rural & Low-Income Schools,Active,,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.,Uniform FY27,Flowthrough,24000,No,Yes,24160 Rural & Low-Income Schools,Yes,Yes,Yes,Yes,Yes,No,,,No,Yes,Yes,No
24161,State Assessment & Related Activities,Historical,,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.,Uniform FY27,Flowthrough,24000,No,Yes,????,Yes,Yes,Yes,Yes,Yes,No,,,No,Yes,Yes,Yes
24162,Title I School Improvement,Active,,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.,Uniform FY27,Flowthrough,24000,No,Yes,24162 Title I School Improvement,Yes,Yes,Yes,Yes,Yes,No,1111,,No,Yes,Yes,No
24163,Immigrant Funding - Title III,Active,,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.,Uniform FY27,Flowthrough,24000,No,Yes,24163 - ESL Title III Immigrant Funding,Yes,Yes,Yes,Yes,Yes,No,1111,,No,Yes,Yes,No
24164,CRRSA - Social Emotional Learning,Historical,,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.,Uniform FY27,Flowthrough,24000,No,Yes,????,Yes,Yes,Yes,Yes,Yes,No,,,No,Yes,Yes,Yes
24165,Refugee & Entrant Assistance,Historical,,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.,Uniform FY27,Flowthrough,24000,No,Yes,????,Yes,Yes,Yes,Yes,Yes,No,,,No,Yes,Yes,Yes
24166,"School Renovation, IDEA, & Tech",Historical,,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.,Uniform FY27,Flowthrough,24000,No,Yes,????,Yes,Yes,Yes,Yes,Yes,No,,,No,Yes,Yes,Yes
24167,Reading First,Historical,,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.,Uniform FY27,Flowthrough,24000,No,Yes,????,Yes,Yes,Yes,Yes,Yes,No,,,No,Yes,Yes,Yes
24168,Carl D Perkins Tech Prep - Current,Active,,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.,Uniform FY27,Flowthrough,24000,No,Yes,24168 Carl D Perkins Tech Prep - Current,Yes,Yes,Yes,Yes,Yes,No,,,No,Yes,Yes,No
24169,Carl D Perkins Tech Prep - PY Unliq. Obligations,Active,,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.,Uniform FY27,Flowthrough,24000,No,Yes,????,Yes,Yes,Yes,Yes,Yes,No,,,No,Yes,Yes,No
24170,Carl D Perkins Tech Prep - Redistribution,Active,,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.,Uniform FY27,Flowthrough,24000,No,Yes,24170 Carl D Perkins Tech Prep - Redistribution,Yes,Yes,Yes,Yes,Yes,No,,,No,Yes,Yes,No
24171,Carl D Perkins Special Projects - Current,Active,,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.,Uniform FY27,Flowthrough,24000,No,Yes,24171 Carl D Perkins Special Projects - Current,Yes,Yes,Yes,Yes,Yes,No,,,No,Yes,Yes,No
24172,Carl D Perkins - Reserve,Active,,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.,Uniform FY27,Flowthrough,24000,No,Yes,24172 Carl D Perkins Special Projects -Reserve,Yes,Yes,Yes,Yes,Yes,No,1111,,No,Yes,Yes,No
24173,Carl D Perkins Special Projects - Redistribution,Active,,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.,Uniform FY27,Flowthrough,24000,No,Yes,24173 Carl D Perkins Special Projects - Redistribution,Yes,Yes,Yes,Yes,Yes,No,,,No,Yes,Yes,No
24174,Carl D Perkins Secondary - Current,Active,,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.,Uniform FY27,Flowthrough,24000,No,Yes,24174 Carl D Perkins Secondary - Current,Yes,Yes,Yes,Yes,Yes,No,1111,,No,Yes,Yes,No
24175,Carl D Perkins Secondary - PY Unliq. Obligations,Active,,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.,Uniform FY27,Flowthrough,24000,No,Yes,24175 Carl D Perkins Secondary - PY Unliq. Obligations,Yes,Yes,Yes,Yes,Yes,No,,,No,Yes,Yes,No
24176,Carl D Perkins Secondary - Redistribution,Active,,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.,Uniform FY27,Flowthrough,24000,No,Yes,24176 Carl D Perkins Secondary - Redistribution,Yes,Yes,Yes,Yes,Yes,No,1111,,No,Yes,Yes,No
24177,Carl D Perkins Post-Secondary - Current,Active,,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.,Uniform FY27,Flowthrough,24000,No,Yes,24177 Carl D Perkins Post-Secondary - Current,Yes,Yes,Yes,Yes,Yes,No,,,No,Yes,Yes,No
24178,Carl D Perkins Post-Secondary - PY Unliq. Obligations,Active,,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.,Uniform FY27,Flowthrough,24000,No,Yes,24178 Carl D Perkins Post-Secondary - PY Unliq. Obligations,Yes,Yes,Yes,Yes,Yes,No,,,No,Yes,Yes,No
24179,Carl D Perkins Post-Secondary - Redistribution,Active,,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.,Uniform FY27,Flowthrough,24000,No,Yes,24179 Carl D Perkins Post-Secondary - Redistribution,Yes,Yes,Yes,Yes,Yes,No,,,No,Yes,Yes,No
24180,Carl D Perkins HSTW - Current,Historical,,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.,Uniform FY27,Flowthrough,24000,No,Yes,24180 Carl D Perkins HSTW - Current,Yes,Yes,Yes,Yes,Yes,No,,,No,Yes,Yes,Yes
24181,Carl D Perkins HSTW - PY Unliq. Obligations,Historical,,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.,Uniform FY27,Flowthrough,24000,No,Yes,24181 Carl D Perkins HSTW - PY Unliq. Obligations,Yes,Yes,Yes,Yes,Yes,No,,,No,Yes,Yes,Yes
24182,Carl D Perkins HSTW - Redistribution,Historical,,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.,Uniform FY27,Flowthrough,24000,No,Yes,24182 Carl D Perkins HSTW - Redistribution,Yes,Yes,Yes,Yes,Yes,No,,,No,Yes,Yes,Yes
24183,USDA 2010 Equipment Assistance Program,Active,,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.,Uniform FY27,Flowthrough,24000,No,Yes,24183 USDA Equipment,Yes,Yes,Yes,Yes,Yes,No,1111,,No,Yes,Yes,No
24184,USHHSD Pregnancy Prevention,Historical,,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.,Uniform FY27,Direct Grant,24000,No,Yes,24184 Teen Pregnancy Prevention,Yes,Yes,Yes,Yes,Yes,No,,,No,Yes,Yes,Yes
24185,Carls D. Perkins Re-Dist. 2 - Post Sec.,Historical,,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.,Uniform FY27,Flowthrough,24000,No,Yes,????,Yes,Yes,Yes,Yes,Yes,No,,,No,Yes,Yes,Yes
24186,USHHS/CDC School Health,Historical,,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.,Uniform FY27,Flowthrough,24000,No,Yes,24186 CDC School Health,Yes,Yes,Yes,Yes,Yes,No,,,No,Yes,Yes,Yes
24187,Migrant Regional Recruiting,Active,,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.,Uniform FY27,Flowthrough,24000,No,Yes,????,Yes,Yes,Yes,Yes,Yes,No,,,No,Yes,Yes,No
24188,AMP Advancing Measurement at PED,Active,,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.,Uniform FY27,Flowthrough,24000,No,Yes,24188 AMP (Advancing Measurement at PED),Yes,Yes,Yes,Yes,Yes,No,1111,,No,Yes,Yes,No
24189,Student Support and Academic Enrichment Program Title IV,Active,,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.,Uniform FY27,Flowthrough,24000,No,Yes,24189 Student Support & Academic Achievement,Yes,Yes,Yes,Yes,Yes,No,1111,,No,Yes,Yes,No
24190,Title I - Comprehensive Support and Improvement (CSI),Active,,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.,Uniform FY27,Flowthrough,24000,No,Yes,24190 Comprehensive Support & Improvement (CSI),Yes,Yes,Yes,Yes,Yes,No,1111,,No,Yes,Yes,No
24191,Title I  - HS Redesign,Active,,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.,Uniform FY27,Flowthrough,24000,No,Yes,24191 High School Redesign,Yes,Yes,Yes,Yes,Yes,No,1111,,No,Yes,Yes,No
24192,Title I - More Rigorous Intervention,Active,,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.,Uniform FY27,Flowthrough,24000,No,Yes,24192 More Rigorous Intervention (MRI),Yes,Yes,Yes,Yes,Yes,No,1111,,No,Yes,Yes,No
24193,Title I - Direct Student Services,Active,,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.,Uniform FY27,Flowthrough,24000,No,Yes,24193 Direct Student Services,Yes,Yes,Yes,Yes,Yes,No,1111,,No,Yes,Yes,No
24194,Comprehensive Literacy State Development (CLSD) Grants,Active,,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.,Uniform FY27,Flowthrough,24000,No,Yes,24194 Comprehensive Literacy State Development,Yes,Yes,Yes,Yes,Yes,No,,,No,Yes,Yes,No
24195,FY24 to FY29 CLSD CFDA 84.371 Comprehensive Literacy Development,Active,,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.,Uniform FY27,Flowthrough,24000,No,Yes,24195 Comprehensive Literacy Development,Yes,Yes,Yes,Yes,Yes,No,1111,,No,Yes,Yes,No
24196,Stronger Connections Grant (SCG) Program - CFDA 84.424F,Active,,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.,Uniform FY27,Flowthrough,24000,No,Yes,24196 Stronger Connections Grant,Yes,Yes,Yes,Yes,Yes,No,1111,,No,Yes,Yes,No
24197,Carl Perkins Non Trad CFDA 84.048,Active,,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.,Uniform FY27,Flowthrough,24000,No,Yes,24197 Non-Trad Grant-CTE,Yes,Yes,Yes,Yes,Yes,No,1111,,No,Yes,Yes,No
24198,Carl Perkins Non Trad CFDA 84.048 GY24 (7/1/2024 - 9/30/2025),Active,,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.,Uniform FY27,Flowthrough,24000,No,Yes,24198 CTE Non-Trad,Yes,Yes,Yes,Yes,Yes,No,1111,,No,Yes,Yes,No
24201,Title I IASA - Federal Stimulus,Historical,,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.,Uniform FY27,Flowthrough,24000,No,Yes,????,Yes,Yes,Yes,Yes,Yes,No,,,No,Yes,Yes,Yes
24206,Entitlement IDEA B - Federal Stimulus,Active,,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.,Uniform FY27,Flowthrough,24000,No,Yes,????,Yes,Yes,Yes,Yes,Yes,No,,,No,Yes,Yes,No
24209,Preschool IDEA B - Federal Stimulus,Historical,,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.,Uniform FY27,Flowthrough,24000,No,Yes,????,Yes,Yes,Yes,Yes,Yes,No,,,No,Yes,Yes,Yes
24212,Early Intervention Services IDEA B - Federal Stimulus,Historical,,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.,Uniform FY27,Flowthrough,24000,No,Yes,????,Yes,Yes,Yes,Yes,Yes,No,,,No,Yes,Yes,Yes
24213,Education of Homeless Federal Stimulus,Historical,,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.,Uniform FY27,Flowthrough,24000,No,Yes,????,Yes,Yes,Yes,Yes,Yes,No,,,No,Yes,Yes,Yes
24215,Private School Share - IDEA B - Federal Stimulus,Historical,,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.,Uniform FY27,Flowthrough,24000,No,Yes,????,Yes,Yes,Yes,Yes,Yes,No,,,No,Yes,Yes,Yes
